run  |     start time      |      end time       | length (min)
6194 | 2020-02-04 11:28:05 | 2020-02-04 12:34:28 | 66.3833 
6195 | 2020-02-04 12:38:07 | 2020-02-04 12:56:34 | 18.4500 
6201 | 2020-02-04 14:22:03 | 2020-02-04 15:25:04 | 63.0167 
6202 | 2020-02-04 15:26:45 | 2020-02-04 16:23:28 | 56.7167 
6203 | 2020-02-04 16:25:19 | 2020-02-04 17:27:42 | 62.3833 
6204 | 2020-02-04 17:28:26 | 2020-02-04 18:28:43 | 60.2833 
6205 | 2020-02-04 18:35:10 | 2020-02-04 19:46:10 | 71.0000 
6206 | 2020-02-04 19:46:52 | 2020-02-04 20:32:08 | 45.2667 
6207 | 2020-02-04 20:40:06 | 2020-02-04 21:38:09 | 58.0500 
6208 | 2020-02-04 21:41:10 | 2020-02-04 22:36:54 | 55.7333 
6209 | 2020-02-04 22:37:25 | 2020-02-04 23:36:51 | 59.4333 
6210 | 2020-02-04 23:37:24 | 2020-02-05 00:35:58 | 58.5667 
6211 | 2020-02-05 00:40:13 | 2020-02-05 01:30:14 | 50.0167 
6212 | 2020-02-05 01:32:30 | 2020-02-05 02:29:04 | 56.5667 
6213 | 2020-02-05 02:34:21 | 2020-02-05 03:02:02 | 27.6833 
6214 | 2020-02-05 03:04:41 | 2020-02-05 04:02:16 | 57.5833 
6215 | 2020-02-05 04:04:27 | 2020-02-05 05:01:26 | 56.9833 
6216 | 2020-02-05 05:04:21 | 2020-02-05 06:02:45 | 58.4000 
6217 | 2020-02-05 06:05:17 | 2020-02-05 07:01:48 | 56.5167 
6218 | 2020-02-05 07:03:20 | 2020-02-05 08:03:51 | 60.5167 
6234 | 2020-02-06 00:19:03 | 2020-02-06 01:15:52 | 56.8167 
6235 | 2020-02-06 01:17:52 | 2020-02-06 02:06:50 | 48.9667 
6236 | 2020-02-06 02:07:49 | 2020-02-06 03:08:47 | 60.9667 
6237 | 2020-02-06 03:09:22 | 2020-02-06 03:47:22 | 38.0000 
6238 | 2020-02-06 04:19:39 | 2020-02-06 05:34:10 | 74.5167 
6239 | 2020-02-06 05:41:07 | 2020-02-06 06:42:28 | 61.3500 
6240 | 2020-02-06 06:43:22 | 2020-02-06 07:43:12 | 59.8333 
6241 | 2020-02-06 07:44:24 | 2020-02-06 08:18:36 | 34.2000 
6248 | 2020-02-06 10:49:48 | 2020-02-06 11:49:54 | 60.1000 
6249 | 2020-02-06 11:51:06 | 2020-02-06 12:50:20 | 59.2333 
6252 | 2020-02-06 14:05:25 | 2020-02-06 14:25:51 | 20.4333 
6255 | 2020-02-06 15:19:16 | 2020-02-06 16:11:33 | 52.2833 
6256 | 2020-02-06 16:12:39 | 2020-02-06 17:06:50 | 54.1833 
6257 | 2020-02-06 17:08:38 | 2020-02-06 17:59:09 | 50.5167 
6258 | 2020-02-06 18:00:07 | 2020-02-06 18:59:26 | 59.3167 
6259 | 2020-02-06 18:59:56 | 2020-02-06 19:58:00 | 58.0667 
6284 | 2020-02-07 21:32:17 | 2020-02-07 22:22:58 | 50.6833 
6285 | 2020-02-07 22:24:19 | 2020-02-07 23:23:05 | 58.7667 
6314 | 2020-02-09 10:14:31 | 2020-02-09 11:16:06 | 61.5833 
6315 | 2020-02-09 11:16:49 | 2020-02-09 12:19:20 | 62.5167 
6316 | 2020-02-09 12:20:02 | 2020-02-09 13:24:02 | 64.0000 
6317 | 2020-02-09 13:24:54 | 2020-02-09 14:26:49 | 61.9167 
6318 | 2020-02-09 14:27:58 | 2020-02-09 15:28:00 | 60.0333 
6319 | 2020-02-09 15:29:14 | 2020-02-09 16:29:35 | 60.3500 
6320 | 2020-02-09 16:34:32 | 2020-02-09 17:35:45 | 61.2167 
6321 | 2020-02-09 17:37:09 | 2020-02-09 18:37:40 | 60.5167 
6328 | 2020-02-10 01:56:33 | 2020-02-10 02:58:19 | 61.7667 
6329 | 2020-02-10 02:59:19 | 2020-02-10 03:56:07 | 56.8000 
6330 | 2020-02-10 03:57:16 | 2020-02-10 04:57:11 | 59.9167 
6331 | 2020-02-10 04:57:51 | 2020-02-10 05:58:21 | 60.5000 
6332 | 2020-02-10 05:59:05 | 2020-02-10 07:20:19 | 81.2333 
6333 | 2020-02-10 07:21:27 | 2020-02-10 08:21:05 | 59.6333 
6334 | 2020-02-10 08:22:07 | 2020-02-10 08:50:47 | 28.6667 
6424 | 2020-02-15 23:17:30 | 2020-02-15 23:36:54 | 19.4000 
6427 | 2020-02-16 00:49:35 | 2020-02-16 01:16:07 | 26.5333 
6428 | 2020-02-16 01:17:04 | 2020-02-16 01:59:08 | 42.0667 
6429 | 2020-02-16 01:59:52 | 2020-02-16 02:58:32 | 58.6667 
6430 | 2020-02-16 02:59:04 | 2020-02-16 03:05:14 | 6.1667  
6431 | 2020-02-16 03:06:14 | 2020-02-16 04:03:46 | 57.5333 
6432 | 2020-02-16 04:04:33 | 2020-02-16 05:02:04 | 57.5167 
6433 | 2020-02-16 05:09:08 | 2020-02-16 06:03:40 | 54.5333 
6434 | 2020-02-16 06:05:07 | 2020-02-16 07:02:30 | 57.3833 
6435 | 2020-02-16 07:02:54 | 2020-02-16 07:58:42 | 55.8000 
6436 | 2020-02-16 07:59:10 | 2020-02-16 09:02:02 | 62.8667 
6437 | 2020-02-16 09:02:38 | 2020-02-16 10:00:47 | 58.1500 
6439 | 2020-02-16 10:04:49 | 2020-02-16 10:59:35 | 54.7667 
6440 | 2020-02-16 11:07:53 | 2020-02-16 12:01:03 | 53.1667 
6443 | 2020-02-16 13:02:57 | 2020-02-16 14:02:23 | 59.4333 
6444 | 2020-02-16 14:03:22 | 2020-02-16 15:00:43 | 57.3500 
6445 | 2020-02-16 15:01:20 | 2020-02-16 16:00:25 | 59.0833 
6446 | 2020-02-16 16:01:00 | 2020-02-16 17:00:53 | 59.8833 
6447 | 2020-02-16 17:01:48 | 2020-02-16 18:01:23 | 59.5833 
6448 | 2020-02-16 18:01:57 | 2020-02-16 19:01:59 | 60.0333 
6449 | 2020-02-16 19:02:42 | 2020-02-16 19:56:01 | 53.3167 
6451 | 2020-02-16 20:25:53 | 2020-02-16 21:25:37 | 59.7333 
6452 | 2020-02-16 21:26:09 | 2020-02-16 22:09:53 | 43.7333 
6455 | 2020-02-16 22:59:08 | 2020-02-16 23:59:53 | 60.7500 
6456 | 2020-02-17 00:00:53 | 2020-02-17 01:03:42 | 62.8167 
6457 | 2020-02-17 01:04:16 | 2020-02-17 02:07:07 | 62.8500 
6458 | 2020-02-17 02:07:40 | 2020-02-17 03:01:07 | 53.4500 
6459 | 2020-02-17 03:02:12 | 2020-02-17 03:59:59 | 57.7833 
6460 | 2020-02-17 04:02:56 | 2020-02-17 05:04:25 | 61.4833 
6461 | 2020-02-17 05:05:12 | 2020-02-17 06:00:35 | 55.3833 
6462 | 2020-02-17 06:04:01 | 2020-02-17 07:00:47 | 56.7667 
6463 | 2020-02-17 07:02:10 | 2020-02-17 08:00:26 | 58.2667 
6464 | 2020-02-17 08:01:14 | 2020-02-17 08:21:36 | 20.3667 
6514 | 2020-02-19 10:29:32 | 2020-02-19 11:12:18 | 42.7667 
6515 | 2020-02-19 11:13:07 | 2020-02-19 12:13:36 | 60.4833 
6516 | 2020-02-19 12:15:02 | 2020-02-19 13:15:05 | 60.0500 
